                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0247,                 1.6707,                0.97856,                 0.8762,                0.57485,                 0.8875,                0.62459,                0.49911,                0.56751,                0.87375,                0.61527,                0.36998,                    nan,                    nan,                    nan,                    nan,                 0.0005,                 0.0005,                 0.0005
                      2,                0.92537,                 1.4598,                0.60388,                 0.8477,                0.64681,                0.91875,                0.66473,                0.51608,                0.64067,                0.90375,                0.64882,                0.38756,                    nan,                    nan,                    nan,                    nan,              0.0010099,              0.0010099,              0.0010099
                      3,                0.95708,                 1.5338,                0.59204,                0.84931,                0.93172,                0.92101,                0.94162,                0.72164,                0.90966,                  0.895,                0.89917,                0.50217,                    nan,                    nan,                    nan,                    nan,              0.0015095,              0.0015095,              0.0015095
                      4,                0.94059,                 1.4559,                0.62992,                0.84504,                0.75126,                  0.895,                0.85902,                0.66862,                0.74257,                0.87978,                0.83273,                0.45899,                    nan,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                0.92244,                 1.4219,                0.56138,                0.84388,                0.64977,                0.91375,                0.64741,                0.51288,                0.64489,                0.90119,                0.63062,                0.36892,                    nan,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      6,                0.90582,                 1.3909,                0.54012,                0.84268,                0.86726,                0.88205,                0.92693,                0.75009,                0.86052,                   0.87,                0.90537,                0.55309,                    nan,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                      7,                0.85239,                 1.3618,                0.50805,                0.83165,                0.74075,                0.89375,                0.79056,                0.63112,                0.73577,                 0.8725,                0.77066,                0.44664,                    nan,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      8,                0.84571,                 1.3452,                0.50308,                0.83362,                0.82511,                0.88463,                 0.8821,                0.70441,                0.81161,                0.86625,                0.85611,                0.50765,                    nan,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                0.82028,                  1.303,                0.50367,                0.83004,                0.95267,                0.93085,                0.96753,                0.79895,                0.94085,                0.91466,                 0.9421,                0.58883,                    nan,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     10,                0.84247,                 1.3325,                0.48494,                 0.8294,                0.94691,                0.91413,                0.95978,                0.78133,                0.93899,                0.89375,                0.93647,                0.58256,                    nan,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     11,                0.82901,                 1.2993,                0.47963,                0.82811,                0.92093,                   0.89,                0.95137,                0.75186,                0.91044,                0.87676,                0.92994,                 0.5702,                    nan,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     12,                0.82832,                 1.2958,                0.48295,                0.82564,                0.86582,                0.87113,                0.91459,                0.75236,                 0.8637,                 0.8575,                0.89249,                0.54554,                    nan,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     13,                0.78854,                 1.2771,                0.45351,                0.82417,                0.90984,                0.88125,                0.94845,                0.79165,                0.90784,                0.87125,                0.93022,                0.60755,                    nan,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     14,                0.82563,                 1.2852,                0.47385,                0.83145,                0.91414,                0.88375,                0.93668,                0.77828,                0.91028,                0.87505,                0.92204,                0.61088,                    nan,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     15,                0.83981,                 1.3011,                0.47983,                0.82925,                0.96571,                0.95051,                0.96896,                0.81141,                0.95329,                 0.9375,                0.95515,                0.58539,                    nan,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     16,                 0.8111,                 1.2813,                0.45535,                0.82261,                0.66367,                0.93125,                0.77845,                0.64423,                0.65798,                0.92375,                0.76798,                0.50073,                    nan,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     17,                0.79491,                  1.259,                0.44962,                0.82206,                 0.6748,                0.90625,                0.70644,                0.58598,                  0.665,                   0.89,                0.69133,                0.41946,                    nan,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     18,                0.76811,                 1.2916,                0.44026,                0.82098,                0.91973,                 0.9025,                0.94284,                0.76978,                0.91447,                 0.8954,                0.93249,                0.58947,                    nan,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     19,                0.78515,                  1.254,                 0.4433,                0.82102,                0.94067,                0.89182,                0.95258,                0.80074,                0.93141,                0.88264,                 0.9366,                0.58481,                    nan,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
